INFO 2024-12-11 14:09:45,189 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:30:52,879 basehttp 16712 16364 "GET / HTTP/1.1" 200 3219
INFO 2024-12-11 14:30:58,313 basehttp 16712 16364 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:30:58,354 basehttp 16712 16364 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:30:58,407 basehttp 16712 16364 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:30:58,437 basehttp 16712 16364 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:30:58,465 basehttp 16712 16364 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:30:58,485 basehttp 16712 16364 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:30:58,506 basehttp 16712 16364 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:30:58,524 basehttp 16712 16364 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:30:58,555 basehttp 16712 16364 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:30:58,575 basehttp 16712 16364 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:30:58,604 basehttp 16712 16364 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:30:58,623 basehttp 16712 16364 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:30:58,641 basehttp 16712 16364 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:30:58,658 basehttp 16712 16364 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:30:58,723 basehttp 16712 16364 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:30:58,822 basehttp 16712 16364 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:30:59,011 basehttp 16712 16364 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:30:59,095 basehttp 16712 16364 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:30:59,111 basehttp 16712 16364 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:30:59,127 basehttp 16712 16364 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:31:00,284 basehttp 16712 16364 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:31:00,306 basehttp 16712 16364 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:31:00,349 basehttp 16712 16364 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:31:00,368 basehttp 16712 16364 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:31:00,401 basehttp 16712 16364 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:31:00,422 basehttp 16712 16364 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:31:00,461 basehttp 16712 16364 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:31:00,508 basehttp 16712 16364 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:31:00,565 basehttp 16712 16364 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:31:00,588 basehttp 16712 16364 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:31:00,609 basehttp 16712 16364 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:31:00,627 basehttp 16712 16364 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:31:00,643 basehttp 16712 16364 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:31:00,661 basehttp 16712 16364 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:31:00,720 basehttp 16712 16364 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:31:00,753 basehttp 16712 16364 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:31:00,777 basehttp 16712 16364 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:31:00,804 basehttp 16712 16364 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:31:00,825 basehttp 16712 16364 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:31:00,851 basehttp 16712 16364 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:33:22,246 autoreload 3584 16084 Watching for file changes with StatReloader
INFO 2024-12-11 14:33:23,906 basehttp 3584 400 "GET / HTTP/1.1" 200 3219
INFO 2024-12-11 16:03:51,054 autoreload 7208 10568 Watching for file changes with StatReloader
INFO 2024-12-11 16:03:52,754 basehttp 7208 8220 "GET / HTTP/1.1" 200 3219
INFO 2024-12-11 16:03:54,941 basehttp 7208 8220 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 16:03:54,961 basehttp 7208 8220 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 16:03:55,003 basehttp 7208 8220 "GET /informes/ HTTP/1.1" 302 0
